Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-03-18,155.92,156.41,154.42,154.96,9689091.0,0.0,1.0,155.92,156.41,154.42,154.96,9689091.0
2019-03-15,153.72,156.82,153.36,155.46,20162038.0,0.0,1.0,153.72,156.82,153.36,155.46,20162038.0
2019-03-14,152.56,154.69,152.3,154.2,9364504.0,0.0,1.0,152.56,154.69,152.3,154.2,9364504.0
2019-03-13,152.3,154.04,152.04,152.47,8307629.0,0.0,1.0,152.3,154.04,152.04,152.47,8307629.0
2019-03-12,151.0,153.14,150.87,151.73,9465075.0,0.0,1.0,151.0,153.14,150.87,151.73,9465075.0
2019-03-11,148.11,150.97,148.02,150.67,9359906.0,0.0,1.0,148.11,150.97,148.02,150.67,9359906.0
2019-03-08,145.44,147.48,144.5,147.35,5167758.0,0.0,1.0,145.44,147.48,144.5,147.35,5167758.0
2019-03-07,147.26,147.81,146.04,146.83,8759835.0,0.0,1.0,147.26,147.81,146.04,146.83,8759835.0
2019-03-06,148.0,148.52,147.42,147.81,8186390.0,0.0,1.0,148.0,148.52,147.42,147.81,8186390.0
2019-03-05,148.0,149.29,147.83,147.95,9678771.0,0.0,1.0,148.0,149.29,147.83,147.95,9678771.0
2019-03-04,150.07,150.19,146.951,147.96,6978510.0,0.0,1.0,150.07,150.19,146.951,147.96,6978510.0
2019-03-01,149.46,149.93,148.38,149.47,7016821.0,0.0,1.0,149.46,149.93,148.38,149.47,7016821.0
2019-02-28,147.26,148.82,147.23,148.12,6250380.0,0.0,1.0,147.26,148.82,147.23,148.12,6250380.0
2019-02-27,146.5,147.49,145.92,147.22,9730686.0,0.0,1.0,146.5,147.49,145.92,147.22,9730686.0
2019-02-26,145.2,147.4,145.02,147.04,7332483.0,0.0,1.0,145.2,147.4,145.02,147.04,7332483.0
2019-02-25,146.91,147.2,145.81,146.06,9731222.0,0.0,1.0,146.91,147.2,145.81,146.06,9731222.0
2019-02-22,144.42,146.2836,144.42,145.87,9681136.0,0.0,1.0,144.42,146.2836,144.42,145.87,9681136.0
2019-02-21,144.35,145.0298,143.18,144.0,8573402.0,0.0,1.0,144.35,145.0298,143.18,144.0,8573402.0
2019-02-20,144.35,144.84,143.52,144.73,5283077.0,0.0,1.0,144.35,144.84,143.52,144.73,5283077.0
2019-02-19,144.42,144.88,144.02,144.44,8406948.0,0.0,1.0,144.42,144.88,144.02,144.44,8406948.0
2019-02-15,144.55,144.91,143.815,144.91,6535934.0,0.0,1.0,144.55,144.91,143.815,144.91,6535934.0
2019-02-14,142.98,143.48,142.4,143.16,6313699.0,0.25,1.0,142.98,143.48,142.4,143.16,6313699.0
2019-02-13,142.89,144.7,142.865,143.49,6885400.0,0.0,1.0,142.64090649187642,144.44775120284498,142.61595007321665,143.23986053971132,6885400.0
2019-02-12,141.79,142.8,141.25,141.99,6090174.0,0.0,1.0,141.54282407084582,142.55106338470122,141.00376542779443,141.74247542012412,6090174.0
2019-02-11,141.26,142.2877,140.45,140.8,7600100.0,0.0,1.0,141.01374799525834,142.03965645352486,140.20516003068124,140.55454989191827,7600100.0
2019-02-08,138.69,140.4,138.52,140.38,5950727.0,0.0,1.0,138.44822815703228,140.1552471933617,138.27852451014573,140.13528205843386,5950727.0
2019-02-07,139.92,141.06,139.21,140.17,10675395.0,0.0,1.0,139.67608395509376,140.81409664598004,138.96732166515585,139.92564814169162,10675395.0
2019-02-06,141.96,142.42,141.05,141.49,6146784.0,0.0,1.0,141.71252771773237,142.17172582107244,140.80411407851614,141.2433470469284,6146784.0
2019-02-05,142.0,142.945,141.83,142.53,8455175.0,0.0,1.0,141.75245798758803,142.69581061292797,141.58275434070148,142.2815340631755,8455175.0
2019-02-04,139.79,141.517,139.18,141.5,11882597.0,0.0,1.0,139.54631057806287,141.27029997908096,138.9373739627641,141.2533296143923,11882597.0
2019-02-01,135.39,140.35,135.26,140.15,13247191.0,0.0,1.0,135.15398089394043,140.1053343560421,135.02420751690954,139.90568300676384,13247191.0
2019-01-31,134.39,135.73,133.3,135.01,20095659.0,0.0,1.0,134.15572414754897,135.49338818771352,133.0676242939823,134.77464333031168,20095659.0
2019-01-30,136.1,137.895,135.51,137.6,8043854.0,0.0,1.0,135.8627431838784,137.65461404365107,135.2737717035074,137.3601283034656,8043854.0
2019-01-29,136.59,136.69,134.11,135.0,7455127.0,0.0,1.0,136.35188898961022,136.45171466424935,133.87621225855938,134.76466076284777,7455127.0
2019-01-28,137.51,137.51,134.81,135.99,9856065.0,0.0,1.0,137.27028519629033,137.27028519629033,134.5749919810334,135.75293494177532,9856065.0
2019-01-25,139.0,139.9,137.97,138.67,9759451.0,0.0,1.0,138.75768774841364,139.65611882016597,137.72948329963043,138.42826302210443,9759451.0
2019-01-24,137.11,138.32,136.52,137.7,4925199.0,0.0,1.0,136.8709824977338,138.07887316086743,136.2820110173628,137.45995397810472,4925199.0
2019-01-23,138.77,138.98,136.1478,137.01,5465773.0,0.0,1.0,138.5280886967436,138.7377226134858,135.91045985635589,136.7711568230946,5465773.0
2019-01-22,137.9,139.52,136.975,138.05,8101890.0,0.0,1.0,137.65960532738302,139.27678125653722,136.73621783697092,137.80934383934175,8101890.0
2019-01-18,138.31,138.6,136.64,138.5,10263458.0,0.0,1.0,138.06889059340352,138.35838504985705,136.40180182692976,138.2585593752179,10263458.0
2019-01-17,136.97,137.91,136.59,137.28,5863994.0,0.0,1.0,136.73122655323897,137.66958789484693,136.35188898961022,137.0406861446203,5863994.0
2019-01-16,138.4,138.87,137.07,137.34,7255484.0,0.0,1.0,138.15873370057875,138.62791437138276,136.8310522278781,137.1005815494038,7255484.0
2019-01-15,136.96,137.72,135.25,137.34,7594933.0,0.0,1.0,136.72124398577506,137.47991911303257,135.01422494944563,137.1005815494038,7594933.0
2019-01-14,136.99,138.13,136.65,137.1,8665134.0,0.0,1.0,136.7511916881668,137.88920437905307,136.4117843943937,136.86099993026986,8665134.0
2019-01-11,137.75,138.6,137.41,138.06,5860051.0,0.0,1.0,137.50986681542432,138.35838504985705,137.1704595216512,137.81932640680566,5860051.0
2019-01-10,136.81,138.82,136.36,138.67,12514916.0,0.0,1.0,136.57150547381633,138.57800153406316,136.1222899379402,138.42826302210443,12514916.0
2019-01-09,138.3,139.48,137.62,138.41,9986910.0,0.0,1.0,138.05890802593962,139.23685098668153,137.38009343839343,138.16871626804266,9986910.0
2019-01-08,137.97,138.19,135.96,136.8,9239988.0,0.0,1.0,137.72948329963043,137.94909978383654,135.7229872393836,136.56152290635242,9239988.0
2019-01-07,134.45,137.169,134.04,136.06,12928140.0,0.0,1.0,134.21561955233247,136.92987964577088,133.80633428631197,135.82281291402273,12928140.0
2019-01-04,130.44,134.5886,130.13,133.65,11064495.0,0.0,1.0,130.21260999930269,134.35397793738235,129.90315040792134,133.4170141552193,11064495.0
2019-01-03,131.21,131.28,127.88,128.13,9426469.0,0.0,1.0,130.98126769402413,131.05114566627154,127.65707272854054,127.9066369151384,9426469.0
