Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-05-07,203.34,204.0,201.01,202.63,2838449.0,0.0,1.0,203.34,204.0,201.01,202.63,2838449.0
2019-05-06,202.8,206.98,201.71,206.43,1927994.0,0.0,1.0,202.8,206.98,201.71,206.43,1927994.0
2019-05-03,206.01,208.75,205.67,207.52,1897627.0,0.0,1.0,206.01,208.75,205.67,207.52,1897627.0
2019-05-02,204.43,206.22,203.12,204.99,1514660.0,0.0,1.0,204.43,206.22,203.12,204.99,1514660.0
2019-05-01,206.4,208.4086,204.03,204.73,1981789.0,0.0,1.0,206.4,208.4086,204.03,204.73,1981789.0
2019-04-30,206.94,207.9899,204.15,205.92,1833416.0,0.0,1.0,206.94,207.9899,204.15,205.92,1833416.0
2019-04-29,203.5,208.0,203.27,206.92,2997024.0,0.0,1.0,203.5,208.0,203.27,206.92,2997024.0
2019-04-26,201.73,203.12,200.32,203.08,1543137.0,0.0,1.0,201.73,203.12,200.32,203.08,1543137.0
2019-04-25,199.7,202.56,199.1,201.4,2075273.0,0.0,1.0,199.7,202.56,199.1,201.4,2075273.0
2019-04-24,203.0,203.52,199.73,200.54,4606161.0,0.0,1.0,203.0,203.52,199.73,200.54,4606161.0
2019-04-23,204.25,205.19,202.74,204.14,2120923.0,0.0,1.0,204.25,205.19,202.74,204.14,2120923.0
2019-04-22,205.12,205.59,204.14,204.6,1591430.0,0.0,1.0,205.12,205.59,204.14,204.6,1591430.0
2019-04-18,207.09,207.86,205.15,205.91,2874262.0,0.0,1.0,207.09,207.86,205.15,205.91,2874262.0
2019-04-17,201.96,208.5,201.78,207.9,4193588.0,0.0,1.0,201.96,208.5,201.78,207.9,4193588.0
2019-04-16,199.62,202.94,199.24,201.84,4852622.0,0.0,1.0,199.62,202.94,199.24,201.84,4852622.0
2019-04-15,204.11,205.7356,199.7,199.91,6615161.0,0.0,1.0,204.11,205.7356,199.7,199.91,6615161.0
2019-04-12,207.0,209.97,206.37,207.84,5091129.0,0.0,1.0,207.0,209.97,206.37,207.84,5091129.0
2019-04-11,204.23,205.45,201.57,202.83,2802322.0,0.0,1.0,204.23,205.45,201.57,202.83,2802322.0
2019-04-10,201.8,203.17,200.2736,202.98,1907115.0,0.0,1.0,201.8,203.17,200.2736,202.98,1907115.0
2019-04-09,201.23,201.59,198.86,200.62,2400882.0,0.0,1.0,201.23,201.59,198.86,200.62,2400882.0
2019-04-08,202.79,203.63,201.18,202.54,1891560.0,0.0,1.0,202.79,203.63,201.18,202.54,1891560.0
2019-04-05,203.38,205.5,202.06,202.38,2447108.0,0.0,1.0,203.38,205.5,202.06,202.38,2447108.0
2019-04-04,200.8,204.29,200.5,202.23,2582314.0,0.0,1.0,200.8,204.29,200.5,202.23,2582314.0
2019-04-03,199.25,201.09,198.54,200.86,3225651.0,0.0,1.0,199.25,201.09,198.54,200.86,3225651.0
