,Date,Open,High,Low,Close,Volume,Dividend
0,2018-10-01,150.89,151.56,150.61,150.79,9802609.0,0.0
1,2018-10-02,150.84,150.84,149.17,149.67,8047511.0,0.0
2,2018-10-03,150.71,150.71,149.19,149.37,7521101.0,0.0
3,2018-10-04,149.18,149.28,146.1,146.76,9208050.0,0.0
4,2018-10-05,146.64,147.41,144.4,145.36,7085008.0,0.0
5,2018-10-08,145.01,145.01,140.18,141.89,11636004.0,0.0
6,2018-10-09,141.46,143.29,141.12,142.31,10798114.0,0.0
7,2018-10-10,142.57,142.6885,135.21,135.52,15441221.0,0.0
8,2018-10-11,134.09,137.24,132.26,133.73,15657170.0,0.0
9,2018-10-12,138.48,140.98,137.43,140.06,12990854.0,0.0
10,2018-10-15,139.9,140.06,137.22,137.23,7952379.0,0.0
11,2018-10-16,138.71,142.14,138.68,141.74,11052661.0,0.0
12,2018-10-17,142.34,142.86,140.73,142.45,9170646.0,0.0
13,2018-10-18,142.46,142.46,137.95,139.29,10219412.0,0.0
14,2018-10-19,139.9,142.19,139.38,140.08,8682717.0,0.0
15,2018-10-22,140.97,141.54,139.51,140.64,6098360.0,0.0
16,2018-10-23,136.89,140.04,135.59,139.12,10735281.0,0.0
17,2018-10-24,139.7,140.18,134.0,134.26,13840821.0,0.0
18,2018-10-25,135.45,140.9,132.5,140.52,14985905.0,0.0
19,2018-10-26,137.98,139.87,136.06,137.74,12034404.0,0.0
20,2018-10-29,139.61,141.51,132.27,134.33,12768190.0,0.0
21,2018-10-30,133.08,134.86,129.79,132.76,15107555.0,0.0
22,2018-10-31,134.99,139.12,134.99,137.85,13205283.0,0.0
23,2018-11-01,139.0,140.87,137.49,140.83,16023953.0,0.0
24,2018-11-02,141.11,141.4546,137.85,139.78,17063121.0,0.0
25,2018-11-05,139.8,140.21,138.07,139.8,6280034.0,0.0
26,2018-11-06,139.8,140.91,139.72,140.79,4731118.0,0.0
27,2018-11-07,142.34,144.9,142.32,144.78,20502121.0,0.0
28,2018-11-08,144.6,145.46,143.65200000000002,145.23,5927356.0,0.0
29,2018-11-09,144.2,144.57,142.36,143.93,8339828.0,0.0
30,2018-11-12,143.42,143.64,139.17,139.72,11335081.0,0.0
31,2018-11-13,140.35,141.9,139.01,139.72,6286973.0,0.0
32,2018-11-14,142.02,142.6,138.4128,139.49,6613922.0,0.0
33,2018-11-15,138.85,141.91,137.93,141.84,8564991.0,0.25
34,2018-11-16,140.42,141.84,139.92,140.18,8627337.0,0.0
35,2018-11-19,140.47,140.57,134.25,134.76,16251462.0,0.0
36,2018-11-20,130.31,134.53,129.54,133.37,12720172.0,0.0
37,2018-11-21,134.36,135.78,133.63,134.42,7416279.0,0.0
38,2018-11-23,132.59,134.25,132.49,132.87,3676032.0,0.0
39,2018-11-26,134.6,136.52,134.25,135.94,9143980.0,0.0
40,2018-11-27,135.28,136.31,134.12,135.91,7875024.0,0.0
41,2018-11-28,137.07,141.54,136.8686,141.38,11265076.0,0.0
42,2018-11-29,140.69,140.7,138.71,139.1,8751506.0,0.0
43,2018-11-30,139.01,142.26,138.63,141.71,11360863.0,0.0
44,2018-12-03,145.0,145.72,143.855,145.0,11281447.0,0.0
45,2018-12-04,143.13,144.35,138.5,138.64,13987121.0,0.0
46,2018-12-06,135.04,141.11,133.48,141.05,16388929.0,0.0
47,2018-12-07,140.82,142.13,135.9938,137.11,14007571.0,0.0
48,2018-12-10,136.25,138.27,134.8555,137.88,15743537.0,0.0
49,2018-12-11,139.94,140.05,135.92,136.81,12466006.0,0.0
50,2018-12-12,139.3,140.88,137.75,137.8,10386039.0,0.0
51,2018-12-13,138.3,139.13,136.15,137.54,8778314.0,0.0
52,2018-12-14,135.69,136.72,134.55,135.09,9350116.0,0.0
53,2018-12-17,134.21,134.43,130.69,131.4,11795718.0,0.0
54,2018-12-18,132.29,134.17,131.8,132.66,12762021.0,0.0
55,2018-12-19,132.93,135.87,129.52,131.26,13818488.0,0.0
56,2018-12-20,130.16,132.01,127.15,128.76,18091669.0,0.0
57,2018-12-21,127.18,130.33,122.9501,124.26,25448609.0,0.0
58,2018-12-24,122.08,125.21,121.6,121.73,8617681.0,0.0
59,2018-12-26,123.02,130.24,123.0,130.23,13499510.0,0.0
60,2018-12-27,127.99,132.01,126.52,132.01,10882979.0,0.0
61,2018-12-28,133.08,133.62,129.66,130.94,7381342.0,0.0
62,2018-12-31,131.68,132.44,130.23,131.94,7976007.0,0.0
