,Date,Open,High,Low,Close,Volume,Dividend
0,2017-10-02,237.2,241.0996,237.1,240.65,2501272.0,0.0
1,2017-10-03,241.07,242.71,239.69,241.62,2010765.0,0.0
2,2017-10-04,241.62,242.88,240.1203,240.31,1840210.0,0.0
3,2017-10-05,241.0,246.32,240.12,246.06,3521265.0,0.0
4,2017-10-06,246.3,247.075,244.61,246.02,2395630.0,0.0
5,2017-10-09,245.15,246.35,242.02,242.8,2165169.0,0.0
6,2017-10-10,242.8,243.73,241.7,242.6,2186230.0,0.0
7,2017-10-11,242.0,243.2,241.35,242.4,2175333.0,0.0
8,2017-10-12,242.33,243.42,238.75,239.8,2148150.0,0.0
9,2017-10-13,239.0,239.45,236.84,238.53,2490544.0,0.0
10,2017-10-16,238.6,242.76,238.35,242.41,2969192.0,0.0
11,2017-10-17,244.44,244.89,235.19,236.09,7085825.0,0.0
12,2017-10-18,236.87,242.65,236.87,242.03,4235853.0,0.0
13,2017-10-19,240.35,240.99,238.1,239.99,2710675.0,0.0
14,2017-10-20,242.95,245.25,240.67,244.73,3022769.0,0.0
15,2017-10-23,244.39,245.33,241.38099999999997,242.13,1963295.0,0.0
16,2017-10-24,243.6,246.25,243.0,244.84,2284938.0,0.0
17,2017-10-25,246.16,246.5,240.8,241.74,2568583.0,0.0
18,2017-10-26,242.61,244.0,241.53,241.72,1948670.0,0.0
19,2017-10-27,240.85,242.44,239.67,241.71,2111903.0,0.0
20,2017-10-30,240.1,242.59,239.53,240.89,1764451.0,0.0
21,2017-10-31,240.68,244.18,240.63,242.48,2658731.0,0.0
22,2017-11-01,243.89,247.4,242.91,244.26,2969572.0,0.0
23,2017-11-02,244.69,247.74,243.38,246.88,2508272.0,0.0
24,2017-11-03,245.37,246.28,243.19,244.4,1954148.0,0.0
25,2017-11-06,243.5,244.579,241.67,243.49,1744619.0,0.0
26,2017-11-07,243.91,244.98,238.84,239.81,2483904.0,0.0
27,2017-11-08,239.2,242.32,237.55,241.25,2347205.0,0.0
28,2017-11-09,239.51,242.36700000000002,237.84,240.79,2122505.0,0.0
29,2017-11-10,241.69,243.32,240.0,240.15,1845319.0,0.0
30,2017-11-13,237.97,240.9,237.16,240.27,1953911.0,0.0
31,2017-11-14,239.65,240.88,235.63,237.24,2999674.0,0.0
32,2017-11-15,234.97,238.15,233.55,237.61,2564130.0,0.0
33,2017-11-16,238.38,240.69,238.2,239.37,2304276.0,0.0
34,2017-11-17,238.86,239.08,237.12,238.02,2826279.0,0.0
35,2017-11-20,238.78,238.78,237.11,238.13,2000660.0,0.0
36,2017-11-21,239.41,239.59,237.54,238.02,2223817.0,0.0
37,2017-11-22,237.94,238.95,236.36,236.43,2177129.0,0.0
38,2017-11-24,237.42,238.56,235.55,235.95,1268608.0,0.0
39,2017-11-27,235.75,236.88,234.8,235.11,1999613.0,0.0
40,2017-11-28,236.09,240.0,234.33,239.41,3212932.0,0.0
41,2017-11-29,241.25,244.47,240.4,241.36,4499247.0,0.75
42,2017-11-30,244.07,250.79,244.0,247.64,6362854.0,0.0
43,2017-12-01,249.78,250.68,244.01,248.95,4764988.0,0.0
44,2017-12-04,254.89,254.9,250.01,250.65,3313305.0,0.0
45,2017-12-05,250.8,251.35,247.41,248.33,2525950.0,0.0
46,2017-12-06,247.23,248.075,245.13,245.95,2330322.0,0.0
47,2017-12-07,244.62,249.48,244.4,248.56,2666379.0,0.0
48,2017-12-08,250.5,250.68,247.2,250.35,1958961.0,0.0
49,2017-12-11,250.0,251.4,248.76,250.13,1494228.0,0.0
50,2017-12-12,250.81,258.2,250.685,257.68,3455697.0,0.0
51,2017-12-13,257.81,260.5,255.56,255.56,3482131.0,0.0
52,2017-12-14,256.77,259.55,255.48,255.48,3353191.0,0.0
53,2017-12-15,256.7,258.97,254.76,257.17,5280749.0,0.0
54,2017-12-18,260.5,262.0,259.16,260.02,2575083.0,0.0
55,2017-12-19,260.8,261.8,256.18,256.48,2194751.0,0.0
56,2017-12-20,258.385,259.09,254.55,255.18,2050584.0,0.0
57,2017-12-21,256.38,262.09,256.28,261.01,3336789.0,0.0
58,2017-12-22,260.355,262.1363,257.72,258.97,2096161.0,0.0
59,2017-12-26,258.19,259.2,256.0,257.72,1289310.0,0.0
60,2017-12-27,257.98,257.98,255.52,255.95,1567928.0,0.0
61,2017-12-28,256.98,257.0,255.1,256.5,1301060.0,0.0
62,2017-12-29,255.87,256.6499,252.91,254.76,2519253.0,0.0
