,Date,Open,High,Low,Close,Volume,Dividend
1222,2014-06-27,208.1,209.9,207.855,209.28,3240300.0,0.0
1221,2014-06-30,208.66,211.74,208.5,210.71,2490400.0,0.0
1220,2014-07-01,211.95,215.35,211.83,214.25,2748400.0,0.0
1219,2014-07-02,214.88,215.49,214.25,214.84,1442200.0,0.0
1218,2014-07-03,215.31,217.0,215.1,216.51,1392900.0,0.0
1217,2014-07-07,216.43,217.55,215.64,216.74,1653100.0,0.0
1216,2014-07-08,216.77,216.89,213.15,215.26,3037300.0,0.0
1215,2014-07-09,215.5,216.28,214.51,216.16,1294300.0,0.0
1214,2014-07-10,213.8,216.89,212.676,215.54,2134200.0,0.0
1213,2014-07-11,215.95,217.04,214.37,217.0,1424200.0,0.0
1212,2014-07-14,218.75,222.36,217.65,221.03,3429100.0,0.0
1211,2014-07-15,221.67,224.75,220.9001,221.78,2725200.0,0.0
1210,2014-07-16,222.94,223.16,221.08,222.67,2213300.0,0.0
1209,2014-07-17,221.94,222.0,217.83,217.88,2451500.0,0.0
1208,2014-07-18,219.18,221.89,218.92,220.2,2767000.0,0.0
1207,2014-07-21,219.53,220.13,218.5101,219.22,1542100.0,0.0
1206,2014-07-22,220.92,222.59,220.61,221.26,1924800.0,0.0
1205,2014-07-23,221.49,222.54,220.68,221.2,2047300.0,0.0
1204,2014-07-24,223.39,223.85,221.83,222.74,2986900.0,0.0
1203,2014-07-25,214.1,216.7,211.34,214.77,6882600.0,0.0
1202,2014-07-28,214.42,214.96,213.12,214.22,2600400.0,0.0
1201,2014-07-29,214.4,215.71,213.3301,213.5,2644300.0,0.0
1200,2014-07-30,213.49,214.79,213.4452,214.06,2605700.0,0.0
1199,2014-07-31,213.27,213.36,211.01,211.01,3468500.0,0.0
1198,2014-08-01,209.87,213.0599,209.78,211.81,3525000.0,0.0
1197,2014-08-04,212.85,213.17,211.52,212.16,2019900.0,0.0
1196,2014-08-05,211.5,212.39,209.17,210.54,2787800.0,0.0
1195,2014-08-06,209.98,211.38,209.81,210.69,1882100.0,0.0
1194,2014-08-07,211.18,211.452,208.6,209.04,2392000.0,0.0
1193,2014-08-08,208.88,210.55,208.21,210.46,2314200.0,0.0
1192,2014-08-11,211.04,211.21599999999998,210.03,210.58,2254600.0,0.0
1191,2014-08-12,210.09,211.2,209.45,210.3,1610500.0,0.0
1190,2014-08-13,210.95,212.1,210.46,211.43,1614500.0,0.4
1189,2014-08-14,212.09,212.59,211.31,212.52,1784200.0,0.0
1188,2014-08-15,212.89,213.32,209.93,210.19,2249900.0,0.0
1187,2014-08-18,211.49,214.43,211.27,214.32,2088100.0,0.0
1186,2014-08-19,214.75,215.69,214.1303,215.0,2053100.0,0.0
1185,2014-08-20,214.58,216.4399,214.43,216.2,1824200.0,0.0
1184,2014-08-21,216.5,216.97,215.71,215.75,1386000.0,0.0
1183,2014-08-22,216.2,216.95,215.3,216.09,1786400.0,0.0
1182,2014-08-25,217.2,217.32,215.85,216.02,1240600.0,0.0
1181,2014-08-26,216.49,218.0,216.18,216.73,1724500.0,0.0
1180,2014-08-27,217.12,217.53,215.2907,217.13,1990200.0,0.0
1179,2014-08-28,215.0,215.74,213.77,214.6,2747200.0,0.0
1178,2014-08-29,214.56,215.0,212.1,212.52,3661500.0,0.0
1177,2014-09-02,213.41,214.97,212.71,214.73,2016600.0,0.0
1176,2014-09-03,215.07,216.16,214.31,214.9,1947100.0,0.0
1175,2014-09-04,215.44,216.12,214.0,214.26,2373100.0,0.0
1174,2014-09-05,214.36,214.37,213.1,214.21,2050700.0,0.0
1173,2014-09-08,214.01,216.22,213.5,215.77,2566600.0,0.0
1172,2014-09-09,215.29,215.47,214.0,214.28,1832200.0,0.0
1171,2014-09-10,214.07,218.65,214.04,216.88,3161700.0,0.0
1170,2014-09-11,216.7,216.75,214.45,214.95,2215300.0,0.0
1169,2014-09-12,214.88,215.75,212.75,214.04,2177700.0,0.0
1168,2014-09-15,213.85,215.61,213.85,214.64,1759200.0,0.0
1167,2014-09-16,214.91,217.78,213.65,217.3,2302900.0,0.0
1166,2014-09-17,217.0,217.49,213.7,215.53,3080300.0,0.0
1165,2014-09-18,215.93,216.68,215.145,216.44,2303800.0,0.0
1164,2014-09-19,217.69,218.15,215.49,216.25,5118800.0,0.0
1163,2014-09-22,216.98,216.98,213.75,213.88,2176988.0,0.0
1162,2014-09-23,213.9,213.9,212.46,212.46,1987597.0,0.0
1161,2014-09-24,212.78,215.0,212.25,214.41,2082876.0,0.0
1160,2014-09-25,214.04,214.27,210.4205,210.71,2845685.0,0.0
1159,2014-09-26,211.45,212.2179,210.56,211.94,1794826.0,0.0
1158,2014-09-29,210.21,211.46,209.12,210.93,2197241.0,0.0
1157,2014-09-30,211.17,214.0227,211.02,213.37,2865982.0,0.0
1156,2014-10-01,212.85,213.81,209.75,210.01,2921530.0,0.0
1155,2014-10-02,209.0,210.0,207.8,209.72,2853084.0,0.0
1154,2014-10-03,211.03,212.3,210.18,211.99,2491626.0,0.0
1153,2014-10-06,212.59,213.15,211.66,211.79,2234474.0,0.0
1152,2014-10-07,210.81,211.09,207.85,208.05,2237557.0,0.0
1151,2014-10-08,208.03,212.54,207.7,212.36,3509730.0,0.0
1150,2014-10-09,212.21,212.21,207.58,207.71,2749155.0,0.0
