,Date,Open,High,Low,Close,Volume,Dividend
0,2017-10-02,105.54,105.99,105.1001,105.44,4885565.0,0.0
1,2017-10-03,105.65,105.9,105.29,105.59,4411058.0,0.0
2,2017-10-04,105.71,105.74,104.8977,105.31,4146782.0,0.0
3,2017-10-05,105.6,106.25,105.15,106.24,4396081.0,0.0
4,2017-10-06,106.29,106.96,105.87,106.73,4587001.0,0.0
5,2017-10-09,106.6,107.65,106.54,107.01,4786861.0,0.0
6,2017-10-10,107.58,107.6,106.82,107.31,4015643.0,0.0
7,2017-10-11,107.7,108.59,107.6,108.44,6471800.0,0.0
8,2017-10-12,108.5,108.71,107.9,108.11,6496053.0,0.0
9,2017-10-13,108.5,109.26,108.4,108.66,5154428.0,0.0
10,2017-10-16,108.79,109.05,107.16,108.3,5552165.0,0.0
11,2017-10-17,108.25,108.42,107.3,107.54,5979395.0,0.0
12,2017-10-18,107.62,108.0,107.46,107.8,4817276.0,0.0
13,2017-10-19,107.27,107.78,106.9,107.02,10837631.0,0.0
14,2017-10-20,107.7,107.7,106.97,107.55,7848922.0,0.0
15,2017-10-23,108.05,108.23,107.095,107.53,6316511.0,0.0
16,2017-10-24,107.56,108.64,107.18,108.41,10487743.0,0.0
17,2017-10-25,109.41,110.61,108.0,109.55,12208648.0,0.0
18,2017-10-26,110.38,110.74,109.67,109.8,7379895.0,0.0
19,2017-10-27,110.07,110.13,108.69,109.71,7862681.0,0.0
20,2017-10-30,109.67,110.235,108.92,110.04,5147548.0,0.0
21,2017-10-31,110.58,110.69,108.66,109.98,8002479.0,0.0
22,2017-11-01,110.5,111.4,110.42,111.07,6167261.0,0.0
23,2017-11-02,111.02,111.37,110.2,110.98,5506457.0,0.0
24,2017-11-03,110.94,111.42,110.505,111.36,3758083.0,0.0
25,2017-11-06,111.36,112.15,111.2,111.92,4094744.0,0.0
26,2017-11-07,112.25,112.469,111.56,112.09,3697908.0,0.0
27,2017-11-08,112.01,112.905,111.82,112.47,4417824.0,0.0
28,2017-11-09,111.8,112.2219,110.93,112.14,4212723.0,0.0
29,2017-11-10,111.71,111.98,111.28,111.88,4198639.0,0.0
30,2017-11-13,111.55,111.855,111.335,111.4,7185618.0,0.0
31,2017-11-14,111.08,112.04,110.81,111.98,5679544.0,0.0
32,2017-11-15,111.34,111.87,110.14,110.25,6895082.0,0.0
33,2017-11-16,110.75,111.44,110.57,111.02,5654385.0,0.195
34,2017-11-17,110.69,110.91,109.7,109.82,8812273.0,0.0
35,2017-11-20,109.95,110.68,109.69,109.95,6872814.0,0.0
36,2017-11-21,110.45,111.49,110.3,111.45,6456517.0,0.0
37,2017-11-22,111.5,111.66,110.7,110.82,4067864.0,0.0
38,2017-11-24,111.31,112.16,111.14,111.97,3045750.0,0.0
39,2017-11-27,112.0,112.54,111.91,112.38,6617622.0,0.0
40,2017-11-28,112.6,113.615,112.56,113.36,6671272.0,0.0
41,2017-11-29,113.62,113.62,106.9,109.86,14505026.0,0.0
42,2017-11-30,110.5,112.59,110.03,112.59,18533139.0,0.0
43,2017-12-01,112.38,112.44,109.76,110.73,13098202.0,0.0
44,2017-12-04,111.33,111.45,106.97,107.43,18906081.0,0.0
45,2017-12-05,107.54,109.24,106.6,108.58,12081203.0,0.0
46,2017-12-06,108.49,110.17,108.255,109.74,7531153.0,0.0
47,2017-12-07,109.77,111.41,109.45,111.4,7382437.0,0.0
48,2017-12-08,112.13,112.61,111.815,112.6,7594738.0,0.0
49,2017-12-11,112.5,113.35,112.155,112.37,7538608.0,0.0
50,2017-12-12,112.37,113.7297,112.0,113.46,8753666.0,0.0
51,2017-12-13,113.75,114.37,113.19,113.31,8088922.0,0.0
52,2017-12-14,113.76,114.09,112.92,112.92,9813140.0,0.0
53,2017-12-15,113.94,114.2,112.39,113.82,16386242.0,0.0
54,2017-12-18,114.555,114.75,113.25,113.55,8959486.0,0.0
55,2017-12-19,113.265,113.28,112.08,112.14,7898954.0,0.0
56,2017-12-20,112.64,113.102,111.99,112.12,6200850.0,0.0
57,2017-12-21,112.935,113.1,112.3194,112.41,8866154.0,0.0
58,2017-12-22,112.43,113.11,112.25,112.69,6189622.0,0.0
59,2017-12-26,112.07,113.4397,112.07,112.99,3948877.0,0.0
60,2017-12-27,112.69,114.07,112.6515,114.02,7073082.0,0.0
61,2017-12-28,114.3,114.9199,113.99,114.35,6936266.0,0.0
62,2017-12-29,114.75,114.89,114.02,114.02,5248976.0,0.0
