,Date,Open,High,Low,Close,Volume,Dividend
0,2018-10-01,226.22,227.59,225.0,225.33,2451295.0,0.0
1,2018-10-02,225.28,226.33,223.97,226.07,2272226.0,0.0
2,2018-10-03,227.75,229.77,226.58,227.78,2574210.0,0.0
3,2018-10-04,229.26,231.4,225.39,227.48,2903626.0,0.0
4,2018-10-05,228.0,228.41,224.21,225.71,1722402.0,0.0
5,2018-10-08,224.26,226.917,222.5,225.35,2522928.0,0.0
6,2018-10-09,224.99,225.12,222.53,222.91,1862920.0,0.0
7,2018-10-10,223.24,223.64,214.56,214.89,3953412.0,0.0
8,2018-10-11,214.2,216.03,210.95,212.97,6217366.0,0.0
9,2018-10-12,217.0,217.98,211.46,213.87,4161440.0,0.0
10,2018-10-15,214.45,217.14,213.05,215.22,3332948.0,0.0
11,2018-10-16,219.35,222.0,216.3005,221.7,5922647.0,0.0
12,2018-10-17,220.53,228.9,220.05,228.28,4953723.0,0.0
13,2018-10-18,227.5,228.73,223.8601,224.95,2995325.0,0.0
14,2018-10-19,225.26,228.3,224.19099999999997,226.96,2758310.0,0.0
15,2018-10-22,226.93,228.87,221.52,221.6,2736760.0,0.0
16,2018-10-23,216.59,219.5236,214.32,218.56,3317968.0,0.0
17,2018-10-24,218.14,218.93,208.4,209.18,4151852.0,0.0
18,2018-10-25,211.27,215.69,210.3363,214.01,3179707.0,0.0
19,2018-10-26,210.73,214.8,209.5275,212.36,3557902.0,0.0
20,2018-10-29,214.15,218.21,212.05,214.49,3278258.0,0.0
21,2018-10-30,215.99,220.35,215.04,219.28,3897378.0,0.0
22,2018-10-31,221.89,229.0,221.4,225.37,4369633.0,0.0
23,2018-11-01,225.76,228.88,225.47,226.97,2557550.0,0.0
24,2018-11-02,230.0,231.69,226.29,229.69,3698981.0,0.0
25,2018-11-05,228.32,231.095,226.95,228.72,2565374.0,0.0
26,2018-11-06,228.19,229.52,227.05,228.2,2275607.0,0.0
27,2018-11-07,230.05,232.7958,226.9025,231.28,3514619.0,0.0
28,2018-11-08,231.0,234.06,230.6,231.65,2404854.0,0.0
29,2018-11-09,231.69,231.69,222.3,222.65,3721716.0,0.0
30,2018-11-12,222.0,222.31,205.13,206.05,11019357.0,0.0
31,2018-11-13,204.4,209.5858,202.33,205.05,6984798.0,0.0
32,2018-11-14,206.24,207.34,198.44,202.49,5742451.0,0.0
33,2018-11-15,201.8,204.5,199.32,203.74,4260001.0,0.0
34,2018-11-16,202.93,204.7442,200.35,202.12,2828100.0,0.0
35,2018-11-19,201.83,202.3,197.35,198.22,3418891.0,0.0
36,2018-11-20,195.1,195.89,190.345,191.34,5513841.0,0.0
37,2018-11-21,192.09,195.24,191.19,192.6,4111353.0,0.0
38,2018-11-23,191.61,191.87,188.94,189.1,1862633.0,0.0
39,2018-11-26,191.17,195.23,190.69,194.34,3142466.0,0.0
40,2018-11-27,193.4,194.62,191.56400000000002,193.65,2344990.0,0.0
41,2018-11-28,194.84,198.45,192.23,198.35,3762873.0,0.0
42,2018-11-29,196.02,197.45,193.16,194.85,2665910.0,0.8
43,2018-11-30,190.57,191.45,188.12,190.69,6218765.0,0.0
44,2018-12-03,194.0,195.66,191.62,191.63,4015169.0,0.0
45,2018-12-04,190.69,191.11,183.63,184.31,5797102.0,0.0
46,2018-12-06,181.33,184.88,180.15,184.09,5271887.0,0.0
47,2018-12-07,183.85,186.25,179.0,179.67,3919440.0,0.0
48,2018-12-10,178.6,179.84,174.68,178.83,4527976.0,0.0
49,2018-12-11,182.15,184.43,175.45,176.8,4713293.0,0.0
50,2018-12-12,178.5,180.0,176.48,176.7,3676997.0,0.0
51,2018-12-13,177.83,178.69,175.12,175.92,4004577.0,0.0
52,2018-12-14,174.34,176.26,172.37,172.77,5075468.0,0.0
53,2018-12-17,169.4,171.43,166.53,168.01,8391691.0,0.0
54,2018-12-18,169.78,173.02,169.32,171.5,5149308.0,0.0
55,2018-12-19,171.59,174.85,167.6,169.25,5315138.0,0.0
56,2018-12-20,168.39,171.65,167.16,168.41,6488177.0,0.0
57,2018-12-21,168.25,169.63,159.42,160.05,8960030.0,0.0
58,2018-12-24,159.0,160.0,154.31,156.35,3783497.0,0.0
59,2018-12-26,157.0,163.11,151.7,162.93,7054656.0,0.0
60,2018-12-27,160.12,165.41,159.02,165.41,4972964.0,0.0
61,2018-12-28,165.64,165.95,162.02,163.03,4110094.0,0.0
62,2018-12-31,163.78,167.12,163.78,167.05,4550009.0,0.0
